Website,window.onload,document.createElement
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-timers.setTimeout.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/ScrollResponder.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/TextInput.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/parent-process-nonpersistent-fork.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-child-process-ipc.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-async-hooks-recursive-stack-runInAsyncScope.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/throws_error6.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-child-process-stdout-ipc.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/react.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-http-methods.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-child-process-fork-dgram.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-dgram-close-is-not-callback.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-cluster-server-restart-rr.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/try-n-times.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/screencast-start.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/SamplingProfiler.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/PublicUrl.test.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-cluster-disconnect-unshared-udp.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/XMLHttpRequest-test.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-child-process-exec-any-shells-windows.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/RNTesterUnitTestsBundle.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-vm-ownkeys.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-http-client-reject-cr-no-lf.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-cwd-enoent-file.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-challenges.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/ShowUnsubscribed.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/parseErrorStack.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-fs-chmod.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/setAndForwardRef.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/ngRepeat.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-buffer-swap.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-fs-fchmod.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-cluster-http-pipe.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/use.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/ngSwipe.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-fs-promises-file-handle-sync.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-buffer-readdouble.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-child-process-bad-stdio.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/RCTRootViewIOSExample.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/test-http-client-abort-no-agent.html",0,0
"https://randomnameless.github.io/JSMBOXDataset/Benign/ObFuscatedJsDataset/StyleSheet.html",0,0
